amount,base,currency,timestampt
94237.075,BTC,USD,2024-11-27 11:11:21.738311
94294.205,BTC,USD,2024-11-27 11:13:33.628359
94294.205,BTC,USD,2024-11-27 11:13:38.830713
94291.55,BTC,USD,2024-11-27 11:13:44.028897
94307.085,BTC,USD,2024-11-27 11:13:49.211497
94316.325,BTC,USD,2024-11-27 11:13:54.397353
94284.365,BTC,USD,2024-11-27 11:13:59.592548
94284.365,BTC,USD,2024-11-27 11:14:04.776741
94357.185,BTC,USD,2024-11-27 11:14:09.978703
94352.385,BTC,USD,2024-11-27 11:14:15.165270
94348.855,BTC,USD,2024-11-27 11:14:20.358311
94354.765,BTC,USD,2024-11-27 11:14:25.568715
94354.765,BTC,USD,2024-11-27 11:14:30.772962
94367.165,BTC,USD,2024-11-27 11:14:35.971336
94371.9,BTC,USD,2024-11-27 11:14:41.158780
94371.9,BTC,USD,2024-11-27 11:14:46.325986
94369.765,BTC,USD,2024-11-27 11:14:51.507296
94389.865,BTC,USD,2024-11-27 11:14:56.701558
94389.865,BTC,USD,2024-11-27 11:15:01.891266
94387.465,BTC,USD,2024-11-27 11:15:07.091901
94387.465,BTC,USD,2024-11-27 11:15:12.285690
94357.485,BTC,USD,2024-11-27 11:15:17.474228
94322.95,BTC,USD,2024-11-27 11:15:22.656822
94322.95,BTC,USD,2024-11-27 11:15:27.846073
94329.865,BTC,USD,2024-11-27 11:15:30.378940
94343.43,BTC,USD,2024-11-27 11:15:35.583214
94339.515,BTC,USD,2024-11-27 11:15:40.780773
94320.105,BTC,USD,2024-11-27 11:15:45.960253
94332.36,BTC,USD,2024-11-27 11:15:51.152125
94340.23,BTC,USD,2024-11-27 11:15:56.333291
94340.23,BTC,USD,2024-11-27 11:16:01.524315
94332.315,BTC,USD,2024-11-27 11:16:06.705857
94332.315,BTC,USD,2024-11-27 11:16:11.898087
94332.315,BTC,USD,2024-11-27 11:16:17.100980
94361.765,BTC,USD,2024-11-27 11:16:22.288421
94358.095,BTC,USD,2024-11-27 11:16:27.493989
94358.095,BTC,USD,2024-11-27 11:16:32.677547
94391.805,BTC,USD,2024-11-27 11:16:37.868611
94370.53,BTC,USD,2024-11-27 11:16:43.090139
94370.53,BTC,USD,2024-11-27 11:16:48.279698
94588.145,BTC,USD,2024-11-27 11:50:04.081622
94694.815,BTC,USD,2024-11-27 11:50:09.320317
94694.815,BTC,USD,2024-11-27 11:50:14.529564
94715,BTC,USD,2024-11-27 11:50:19.771815
94715,BTC,USD,2024-11-27 11:50:24.972863
94706.015,BTC,USD,2024-11-27 11:50:30.183109
94704.165,BTC,USD,2024-11-27 11:50:35.390605
94704.165,BTC,USD,2024-11-27 11:50:40.578975
94680.395,BTC,USD,2024-11-27 11:50:45.806249
94714.015,BTC,USD,2024-11-27 11:50:51.023528
94738.925,BTC,USD,2024-11-27 11:50:56.260689
94738.925,BTC,USD,2024-11-27 11:51:01.491524
94734.045,BTC,USD,2024-11-27 11:51:06.682529
94734.045,BTC,USD,2024-11-27 11:51:11.887541
94745.54,BTC,USD,2024-11-27 11:51:17.098732
94734.045,BTC,USD,2024-11-27 11:51:22.304630
94734.045,BTC,USD,2024-11-27 11:51:27.496379
94760.195,BTC,USD,2024-11-27 11:51:32.684729
94753.985,BTC,USD,2024-11-27 11:51:37.877616
94743.335,BTC,USD,2024-11-27 11:51:43.091121
94736.255,BTC,USD,2024-11-27 11:51:48.315495
94723.895,BTC,USD,2024-11-27 11:51:53.508468
94668.54,BTC,USD,2024-11-27 11:51:58.708448
94673.5,BTC,USD,2024-11-27 11:52:03.906777
94656.295,BTC,USD,2024-11-27 11:52:09.121729
94644.22,BTC,USD,2024-11-27 11:52:14.303376
94717.63,BTC,USD,2024-11-27 11:52:19.493707
94708.78,BTC,USD,2024-11-27 11:52:24.696984
94718.235,BTC,USD,2024-11-27 11:52:56.423627
